Category Name,AvgProfit
Computers,157.59459314733
Garden,69.0971283184731
Crafts,52.7503513645661
Cameras ,51.1652026108868
Fishing,43.6491063312844
Children's Clothing,41.6842018356948
Sporting Goods,35.0661347866891
Music,33.2634099604839
Camping & Hiking,31.1352296675454
Consumer Electronics,30.6807422867169
Cardio Equipment,30.6727875778576
Golf Bags & Carts,29.6732785652295
Women's Clothing,29.3889998924369
Soccer,28.2749996626594
Women's Golf Clubs,27.7825410467017
Basketball,27.5473134843881
Health and Beauty,26.2254971664751
Golf Shoes,23.6757063794447
Kids' Golf Clubs,23.5568747279635
Water Sports,20.9232278016422
Boxing & MMA,20.428770700357
Baseball & Softball,20.1932437775839
Cleats,20.1473227074482
Men's Golf Clubs,19.4981977995265
Tennis & Racquet,17.5243292572713
Fitness Accessories,17.0174434180971
Women's Apparel,16.6589507757238
Indoor/Outdoor Games,16.5017841514247
Girls' Apparel,14.3951456891699
Men's Footwear,14.0206248410311
DVDs,13.7793583607329
Hunting & Shooting,13.5909089665886
Electronics,12.9567110005219
Lacrosse,12.7238775049359
Golf Gloves,12.1266262412318
Shop By Sport,11.8184596062292
As Seen on  TV!,10.5063232310147
Men's Clothing,9.64442292988462
Accessories,9.35029217637584
Hockey,8.79060262683713
Trade-In,8.12666322887885
Golf Apparel,7.92814055078685
Baby ,7.36729464864734
Pet Supplies,7.29524381832114
Golf Balls,5.65604747384339
Video Games,3.24286395791885
Strength Training,2.99378459934234
Books ,2.18027162418272
Toys,1.70266540710019
CDs ,1.41642066286716
