OrderMonth,TotalSales
2015-01,525.797671716028
2015-02,463.507268937901
2015-03,525.629475942663
2015-04,507.234178618355
2015-05,525.241848911694
2015-06,512.005647504282
2015-07,519.043192859116
2015-08,514.749921642739
2015-09,509.171848392368
2015-10,524.579760738347
2015-11,514.562695695659
2015-12,528.923087567454
2016-01,523.156743649608
2016-02,484.273848303317
2016-03,512.92912761927
2016-04,500.6082954337
2016-05,514.702676448557
2016-06,501.532285171588
2016-07,522.860427347439
2016-08,524.102748691063
2016-09,501.201028480154
2016-10,524.067898163081
2016-11,523.797692144754
2016-12,518.70668118944
2017-01,514.851586906053
2017-02,496.269933226192
2017-03,524.005013177761
2017-04,519.163408847887
2017-05,552.745427438909
2017-06,516.045827964779
2017-07,552.189444197793
2017-08,554.67136175857
2017-09,571.890416123127
2017-10,536.99977219414
2017-11,313.458760694602
2017-12,251.956669714642
2018-01,165.825887536987
