Product Name,Total Sales
Field & Stream Sportsman 16 Gun Fire Safe,3464.84418683265
Perfect Fitness Perfect Rip Deck,2210.58263573502
Diamondback Women's Serene Classic Comfort Bi,2059.22309192107
Nike Men's Free 5.0+ Running Shoe,1833.82577661299
Nike Men's Dri-FIT Victory Golf Polo,1573.90787740893
Pelican Sunstream 100 Kayak,1549.93030002615
Nike Men's CJ Elite 2 TD Football Cleat,1445.88606783627
O'Brien Men's Neoprene Life Vest,1444.5041864962
Under Armour Girls' Toddler Spine Surge Runni,634.544511449369
Dell Laptop,331.501659165804
